px1,py1,pz1
0.476262,-8.51642,5.52306
15.0618,-1.66581,-4.74643
-6.22138,11.0845,17.7447
2.76125,-5.57686,-18.4719
4.61267,-1.83886,6.39492
15.5218,5.12931,-25.8509
1.29129,-5.35884,-5.16462
9.98359,19.1426,-11.8697
5.62963,-9.94966,19.3857
-8.46643,-2.23744,-6.15638
1.16926,-3.40175,-4.84735
5.02668,-0.315528,22.0383
10.7636,2.25561,-3.92661
1.37594,7.20958,-21.1694
23.5556,3.19093,8.54321
4.47335,7.9045,21.2138
-1.62467,2.06093,9.43195
-6.16731,12.5515,-4.14819
-0.0262702,2.5635,-8.43826
5.42989,7.9615,-9.48005
-4.20659,-2.03828,1.41839
5.88857,-8.86993,-11.5702
4.74788,18.2027,1.53885
19.8385,-12.2262,-2.82452
-7.36353,15.1631,-25.7179
-14.4118,0.162709,-14.9927
-0.356738,8.59924,4.12447
4.465,2.52885,16.6594
-14.7649,-13.2682,14.0465
-8.05028,29.9944,-133.116
-6.81963,7.37919,18.2297
-4.93873,-3.07339,-13.2974
-2.77142,13.353,-15.8094
9.34691,14.7353,20.173
10.1373,-0.224077,-18.6687
2.42719,-12.8597,6.63216
-4.29281,-16.2116,12.6504
12.7393,-14.3058,-11.7378
11.4372,6.09714,34.2081
-0.39142,-3.60249,0.0966073
7.07765,3.79461,-11.6887
2.91879,-14.1247,41.8376
-13.4793,0.818223,1.49817
-2.38739,-1.51331,8.99644
-1.77464,-9.9156,-35.0868
15.4842,-7.8448,24.6884
5.77361,6.81394,-15.4467
-8.51411,4.47395,-13.4121
-3.55981,2.32661,-11.1625
2.1286,-3.85694,-19.943
-14.2302,-2.8768,12.5816
-7.78818,14.9102,13.2665
7.90283,-10.17,-29.6937
6.24384,-7.46455,-8.01069
-2.84359,3.30638,2.9467
6.10675,-15.6863,9.58125
-3.20868,-0.956528,5.3047
-6.15159,-14.4252,-0.146391
8.57992,-4.4718,-16.5582
10.0291,-3.87894,32.5983
0.114886,-9.39904,-7.78096
-16.6324,-8.41315,39.7359
-3.73247,2.62429,5.63099
-3.36972,-8.8628,18.4688
-7.59389,-7.08656,-7.92541
1.56822,-1.57699,9.21896
6.11499,-3.97836,-2.21633
-14.5563,-17.8732,33.8481
-7.73099,5.74691,-14.2821
-0.737385,3.45886,5.74188
24.2346,-13.4316,42.9091
5.22624,5.45514,-11.0733
-7.70921,-14.0003,-31.5676
-4.87558,-6.92809,1.48888
-0.49339,12.6075,-3.46482
-3.68665,-5.18455,-14.8248
9.297,9.99575,8.10128
0.185213,1.98534,-9.07102
-4.83338,-14.526,9.79105
3.61282,-12.1095,-11.0139
-1.02294,1.85062,-9.82915
0.722974,-1.48169,8.57118
17.2002,3.57491,-15.5676
-3.1602,-9.9285,33.6307
6.53986,-15.0987,-13.1874
-2.36216,7.73399,17.9594
0.883816,-15.4196,-48.5028
6.68183,6.11732,-11.5503
3.67651,5.62836,-2.02913
4.81914,19.595,-16.3888
0.432288,-3.55003,15.2881
0.486174,-5.16973,-20.788
3.827,0.765248,0.982591
6.30304,-8.84962,4.065
-5.97412,2.83188,0.975109
10.3023,10.1497,13.6657
-12.1353,-0.753405,5.90944
2.30637,-4.38193,-23.6683
-1.42981,4.32655,-4.84488
2.18615,-1.1759,-8.51109
1.8059,-4.64749,-2.81332
-0.687737,-3.48505,15.7448
-6.79345,-5.91917,0.308361
-3.15704,12.1079,8.21341
-36.6079,17.3355,73.8652
1.11793,3.83286,-4.94344
-6.93316,-2.35021,12.1021
9.32366,0.773775,1.02152
-5.98578,1.3776,-8.76841
-0.631321,-7.96226,2.80244
8.96175,10.3257,-3.63447
16.3694,-1.45461,-26.3998
-3.18418,10.3348,-15.4573
-0.69921,-3.37752,-4.01274
4.52397,-8.62279,-4.65704
16.9624,-18.9261,-19.2625
7.89861,-1.24197,8.08005
5.80175,-5.64991,-3.79542
-3.03453,-4.30112,2.16509
5.67533,6.44728,-21.1031
10.016,-9.68212,-8.36435
-9.28469,-7.34326,-0.829927
3.75794,-9.90716,-6.62753
4.11531,21.0475,-14.6053
11.1913,17.3928,39.8538
10.646,-5.36249,-19.2117
-0.557151,3.46491,10.2223
-6.41917,4.76154,17.2295
14.5479,-3.4676,-5.55714
0.138314,-4.0238,-21.0183
9.50795,-8.59128,11.1567
2.62126,0.032141,5.48765
-8.333,-0.402301,6.16501
-5.6463,4.16946,1.99219
-6.84295,5.50026,-22.1467
-3.69543,12.3893,-17.008
-8.2957,5.53784,3.04013
-1.43801,8.20366,6.87904
-1.90514,-13.6782,-26.5944
11.7447,11.6733,-24.5567
15.1136,4.84803,-6.39633
-11.2258,-2.72796,-21.5045
-2.27971,8.34802,-5.42675
7.01399,0.251784,-5.1301
-1.72733,-2.56659,-13.2947
-4.74988,7.28387,22.8033
10.1518,-2.9504,-5.80705
-1.46398,3.90223,-7.24231
-4.60125,-6.208,-8.98554
8.25803,-0.305638,-0.510697
2.38314,2.54181,14.1166
-4.48186,2.69179,-1.72549
-4.47218,7.02835,-0.799145
2.6995,-1.00615,7.79555
6.77086,5.56642,1.1626
1.66026,7.44862,-15.6988
2.35834,-2.3584,-11.512
-6.61645,3.95092,6.09313
-8.3929,-6.27604,6.24309
-6.42808,-1.96302,14.337
-1.3567,4.56289,-0.246678
7.20995,6.41221,16.0607
0.304878,-14.2751,-8.03169
8.58328,-0.584487,-3.92355
0.251666,-2.11485,-8.65217
1.14743,-13.4833,16.6028
4.93689,5.61629,3.63683
-2.16776,2.85891,18.8851
-5.06969,4.8408,-9.6846
32.7505,11.7153,5.76756
-4.60273,6.78249,8.7294
2.33047,-1.38109,13.9411
17.8322,-17.0346,5.22343
5.31966,1.4978,-15.405
0.886975,-12.9175,-9.47195
-3.81866,-0.18131,-18.1654
-2.67439,0.329573,-13.7997
2.16655,-5.75117,0.182738
10.6992,-3.06026,44.292
-2.42094,4.87641,-7.13418
2.25718,-19.2143,15.521
3.22623,-1.80666,-8.02022
4.38011,8.51512,-28.6751
-31.3332,-9.23748,13.8441
-2.3503,7.66585,-10.1249
-3.51583,10.8034,8.05891
15.0398,1.0125,15.8121
-8.26583,-3.92224,-11.4547
-5.12224,-7.51269,26.894
10.6712,8.18596,8.82003
-20.5132,6.66548,15.574
9.87826,8.64154,20.8198
-12.5942,-3.45687,-3.65928
-5.27648,-5.64037,-13.0052
-3.99629,-6.30507,28.0655
0.252928,1.41047,-7.11561
-5.4262,-2.59928,0.592001
0.917368,-12.5233,-24.1138
0.337091,-8.57001,-11.4033
17.9295,3.6358,2.4097
-3.27546,-0.0793328,4.02046
-12.1792,10.3088,-31.4223
22.2117,-16.8553,-35.5874
3.2832,-2.39325,17.2092
-3.00124,5.60477,3.01106
2.19448,-0.74384,12.0267
-1.06079,2.57776,-13.4746
-27.4776,17.6589,-38.4225
12.4428,5.32916,2.46763
2.93942,-3.22115,-7.47841
-0.772814,-1.75595,-7.29846
3.16862,2.58811,8.43159
5.30772,-5.85099,15.3232
8.87729,7.94334,7.34727
-1.17008,1.77397,7.25231
-2.9525,-0.579119,5.45777
-0.702933,8.82729,-10.5777
-1.22149,18.7073,30.5471
2.02351,0.534477,-9.38524
-0.978629,-4.01443,-5.47795
3.621,1.35373,-5.02514
-9.72112,-3.81625,-9.68339
-4.20299,-15.8645,-12.028
15.7414,3.03594,-6.33646
-11.346,6.81661,13.0816
0.540887,2.48498,-12.3204
-6.30063,-8.9039,-16.345
8.26983,3.51539,13.6035
0.808329,6.58261,-8.77019
-2.65423,3.32703,-15.4096
30.8864,16.8875,-0.739822
23.2511,-2.97804,0.123545
-2.56035,9.32833,-8.04575
4.55328,5.69613,10.5279
2.16989,6.73499,-35.2875
5.45866,-3.68625,7.14664
9.71957,3.78339,0.262552
-4.33333,3.44693,-10.1099
-9.74306,-6.92661,-3.28368
-7.25451,5.18568,-6.54501
-4.07158,0.384287,-22.3015
7.15616,-18.1252,34.8782
3.65666,5.927,-20.2296
0.261243,4.39119,11.9314
-30.4415,-6.31103,-77.5864
-15.2959,5.16619,42.7502
-1.77598,-2.6289,10.0398
8.88274,1.98593,20.9806
-7.05173,2.32193,-0.723687
-6.33938,9.43879,15.332
-6.8915,3.37583,6.32192
-5.97704,12.0197,-2.60775
5.48233,-15.0939,2.92278
10.7794,8.1831,4.66365
-6.35308,7.74163,-5.00989
-17.1659,-5.88097,-1.14193
-4.75401,6.30448,42.5097
-7.63429,2.56861,-12.7595
4.30415,-20.5297,-33.4125
-2.11509,6.23281,-9.74023
-7.0902,-11.0393,23.3568
2.17828,7.20386,-7.55661
-8.24711,-8.29712,8.00855
27.0826,-4.80497,-0.0649207
0.914128,-10.1405,0.748163
7.65603,-6.99152,-17.105
13.8269,-4.36003,-26.8533
5.53312,-8.18077,1.72827
9.80089,-2.45696,16.7078
-9.87357,-6.93838,25.0552
2.74774,-2.49471,-6.0852
-3.48094,0.576371,-11.1057
15.8322,-1.53512,2.07408
-12.9121,-0.80298,-17.0578
18.7662,1.66618,-87.6813
1.69736,-2.63803,10.7574
-0.491148,-7.36077,-12.0368
-10.4385,8.26098,17.3193
2.45869,-15.9245,-30.7405
6.39913,4.99892,2.54713
-18.9275,13.6616,46.5039
-3.14342,-4.07874,-3.03726
12.0877,-3.58285,10.8536
-4.88844,-7.27535,24.1083
4.50486,5.39562,17.3402
-1.36203,-7.92565,8.2594
-10.8327,-24.1607,15.9086
-5.19826,-3.45499,-18.0949
5.02938,3.40181,-7.68906
6.7651,6.32746,-6.4316
-3.43604,11.7351,1.30404
8.18034,7.29161,16.7276
4.28885,6.00827,-11.8421
-8.40444,-1.80069,6.98289
-10.8707,-4.8508,4.26108
-1.50643,8.54684,9.76927
16.9898,17.1942,18.242
-31.4803,1.40672,48.0991
2.64791,-17.0356,-9.78991
7.35351,8.12177,-21.2095
-5.54342,-5.32791,-12.044
-1.98199,-1.36261,-8.01662
-5.81948,0.975657,0.656941
-4.78838,2.50883,4.09177
8.69928,-4.37571,-33.7979
4.59232,-11.61,-3.02623
2.5022,-3.2907,-7.84321
16.3778,-13.1381,9.04155
2.94788,-1.80284,-6.05889
-2.29164,9.22984,6.95733
-0.409628,5.57268,-10.4151
-3.83492,1.73367,-2.93963
1.03608,9.66527,-15.4833
7.63724,3.61977,-2.98647
1.24041,6.61969,3.1482
-0.661878,10.9438,11.8774
-6.43152,4.24647,1.31383
